repo_name,commit,subject,message,bug_fix_regex_count,valid_fix_regex_count,negeted_bug_fix_regex,bq_classification,Is_bug,Bug_Justification,English_classification,Is_English,Comment,Type,Is_Refactor
Komzpa/omim,1b2d3483ae8a13b9193737c7f17111f8ef40dcb6,[l11s] Fixes Hungarian translation.,[l11s] Fixes Hungarian translation.,1,0,0,TRUE,FALSE,fixes translation,FALSE,TRUE,,perfective,FALSE
latur19318/d3,683d5fb526d7706794d671c6190b139c91ff753b,Shorter.,"Shorter.
",0,0,0,FALSE,FALSE,No syntactic evidence,FALSE,TRUE,,?,?
SlimRoms/kernel_motorola_shamu,325322ee34d726bff922853d509e135c8d262e2f,iwlagn: add statistic notification structure for WiFi/BT devices,"iwlagn: add statistic notification structure for WiFi/BT devices

If its WiFi/BT combo device, the statistics notification sent by
uCode will include the additional BT related statistics counters.

Adding new data structure to support the new layout.

Signed-off-by: Wey-Yi Guy <15ba08e2ad0b84ec2e6b8e47b27706f8a8e5edd0@intel.com>
",0,0,0,FALSE,FALSE,add,TRUE,TRUE,,adaptive,
ncultra/linux-stable,325322ee34d726bff922853d509e135c8d262e2f,iwlagn: add statistic notification structure for WiFi/BT devices,"iwlagn: add statistic notification structure for WiFi/BT devices

If its WiFi/BT combo device, the statistics notification sent by
uCode will include the additional BT related statistics counters.

Adding new data structure to support the new layout.

Signed-off-by: Wey-Yi Guy <15ba08e2ad0b84ec2e6b8e47b27706f8a8e5edd0@intel.com>
",0,0,0,FALSE,,,TRUE,,duplicated,,
CyanogenMod/android_kernel_samsung_exynos5420,325322ee34d726bff922853d509e135c8d262e2f,iwlagn: add statistic notification structure for WiFi/BT devices,"iwlagn: add statistic notification structure for WiFi/BT devices

If its WiFi/BT combo device, the statistics notification sent by
uCode will include the additional BT related statistics counters.

Adding new data structure to support the new layout.

Signed-off-by: Wey-Yi Guy <15ba08e2ad0b84ec2e6b8e47b27706f8a8e5edd0@intel.com>
",0,0,0,FALSE,,,TRUE,,duplicated,,
desteam/android_kernel_huawei_msm7x30,325322ee34d726bff922853d509e135c8d262e2f,iwlagn: add statistic notification structure for WiFi/BT devices,"iwlagn: add statistic notification structure for WiFi/BT devices

If its WiFi/BT combo device, the statistics notification sent by
uCode will include the additional BT related statistics counters.

Adding new data structure to support the new layout.

Signed-off-by: Wey-Yi Guy <15ba08e2ad0b84ec2e6b8e47b27706f8a8e5edd0@intel.com>
",0,0,0,FALSE,,,TRUE,,duplicated,,
csd-dev/snipe-it,2bf57febd8830087897fa428c3c5de2cad4d02cd,Spanish Translation,"Spanish Translation

Ver 1.1
",0,0,0,FALSE,FALSE,translation,FALSE,TRUE,,perfective,FALSE
Varcain/android_kernel_lge_d605,051031143544ff196d94927be8f384864fbca6a4,Trivial: xhci: Fix copy-paste error.,"Trivial: xhci: Fix copy-paste error.

The xHCI driver will create an xhci_hcd structure, not an ehci_hci
structure.

Signed-off-by: Sarah Sharp <d4c4fc5069677be84f589aa6e14eedffef9ba12f@linux.intel.com>
",2,0,0,TRUE,TRUE,"fix, error",TRUE,TRUE,,corrective,FALSE
bluechiptechnology/linux-bctrx3,051031143544ff196d94927be8f384864fbca6a4,Trivial: xhci: Fix copy-paste error.,"Trivial: xhci: Fix copy-paste error.

The xHCI driver will create an xhci_hcd structure, not an ehci_hci
structure.

Signed-off-by: Sarah Sharp <d4c4fc5069677be84f589aa6e14eedffef9ba12f@linux.intel.com>
",2,0,0,TRUE,,,TRUE,,duplicated,,
Rashed97/caf-kernel-msm-3.18,051031143544ff196d94927be8f384864fbca6a4,Trivial: xhci: Fix copy-paste error.,"Trivial: xhci: Fix copy-paste error.

The xHCI driver will create an xhci_hcd structure, not an ehci_hci
structure.

Signed-off-by: Sarah Sharp <d4c4fc5069677be84f589aa6e14eedffef9ba12f@linux.intel.com>
",2,0,0,TRUE,,,TRUE,,duplicated,,
AOKP/lge-kernel-star,c17a1abae2f29047a0f57324240b01609489261b,ALSA: hda - Use snd_hda_codec_get_pincfg() in the rest places,"ALSA: hda - Use snd_hda_codec_get_pincfg() in the rest places

Replace with snd_hda_codec_get_pincfg() in the places where available.

Signed-off-by: Takashi Iwai <4596b3305151c7ee743192a95d394341e3d3b644@suse.de>
",0,0,0,FALSE,FALSE,replace,TRUE,TRUE,,perfective,TRUE
linux-scraping/linux-grsecurity,f8bb5327a8aae4469563b2e47b6cef1bd2eb3555,m68knommu: make 528x UART platform addressing consistent,"m68knommu: make 528x UART platform addressing consistent

If we make all UART addressing consistent across all ColdFire family members
then we will be able to remove the duplicated plaform data and use a single
setup for all.

So modify the ColdFire 528x UART addressing so that:

. UARTs are numbered from 0 up
. use a common name for IRQs used

Signed-off-by: Greg Ungerer <ed22c22dbde360207569092e60b4298397efb8da@uclinux.org>
",0,0,0,FALSE,FALSE,make,TRUE,TRUE,,perfective,TRUE
skristiansson/eco32-linux,0e7f011a19696cc25d68a8d6631fc6c5aa60a54c,svcrdma: Simplify receive buffer posting,"svcrdma: Simplify receive buffer posting

The svcrdma transport provider currently allocates receive buffers
to the RQ through the xpo_release_rqst method. This approach is overly
complicated since it means that the rqstp rq_xprt_ctxt has to be
selectively set based on whether the RPC is going to be processed
immediately or deferred. Instead, just post the receive buffer when
we are certain that we are replying in the send_reply function.

Signed-off-by: Tom Tucker <96835dd8bfa718bd6447ccc87af89ae1675daeca@opengridcomputing.com>
",0,0,0,FALSE,FALSE,simplify,TRUE,TRUE,,perfective,TRUE
mattdesl/three.js,97fa70d93329d16a04031ce75aed77e6fa9b7809,cleanup the ParametricGeometries files,"cleanup the ParametricGeometries files
",0,0,0,FALSE,FALSE,cleanup,TRUE,TRUE,,perfective,TRUE
hunterhu/linux-sunxi,744a82b004b0a08d55f579daa55e32d963353edc,ide: Fix drive's DWORD-IO handling,"ide: Fix drive's DWORD-IO handling

According the documentation, id[ATA_ID_DWORD_IO] is non-zero if
the drive supports dword IO, while the code disables support by
setting IDE_DFLAG_NO_IO_32BIT. In addition, this word has been
reused by the ATA8 specification. This patch fixes both cases.

Signed-off-by: Mario Schwalbe <6befcd6443eb8a2409414e1f822b0e84d643b629@inf.tu-dresden.de>
Cc: Sergei Shtylyov <38a867ea26f35d3eeb42270f1bc7b9d1d135e6a2@ru.mvista.com>
[bart: remove id[ATA_ID_DWORD_IO] check altogether per Sergei's suggestion]
Signed-off-by: Bartlomiej Zolnierkiewicz <248de9df611a028e5eceb9d893a2ed6c24c89ef4@gmail.com>
",2,0,0,TRUE,TRUE,fix,TRUE,TRUE,,corrective,FALSE
DerTeufel/cm7,744a82b004b0a08d55f579daa55e32d963353edc,ide: Fix drive's DWORD-IO handling,"ide: Fix drive's DWORD-IO handling

According the documentation, id[ATA_ID_DWORD_IO] is non-zero if
the drive supports dword IO, while the code disables support by
setting IDE_DFLAG_NO_IO_32BIT. In addition, this word has been
reused by the ATA8 specification. This patch fixes both cases.

Signed-off-by: Mario Schwalbe <6befcd6443eb8a2409414e1f822b0e84d643b629@inf.tu-dresden.de>
Cc: Sergei Shtylyov <38a867ea26f35d3eeb42270f1bc7b9d1d135e6a2@ru.mvista.com>
[bart: remove id[ATA_ID_DWORD_IO] check altogether per Sergei's suggestion]
Signed-off-by: Bartlomiej Zolnierkiewicz <248de9df611a028e5eceb9d893a2ed6c24c89ef4@gmail.com>
",2,0,0,TRUE,,,TRUE,,duplicated,,
switchboardOp/ansible,1bcba4f4a2db9e66db5a8a14a3c2150bb9dc41bf,"test/TestRunner.py now executes false with no directory prefix as it is /bin/false on many systems but /usr/bin/false on OS X test/playbook1.yml now just does command true, rather than command /bin/true, again so that it works on OS X","test/TestRunner.py now executes false with no directory prefix
as it is /bin/false on many systems but /usr/bin/false on OS X
test/playbook1.yml now just does command true, rather than command /bin/true,
again so that it works on OS X

Changed from using which false to just using command false to
make it simpler and also match how playbook1.yml works
",0,0,0,FALSE,FALSE,changed,TRUE,TRUE,,adaptive,
adichola/linux,60b59beafba875aef6d378078bce0baf2287ae14,fbdev: mm: Deferred IO support,"fbdev: mm: Deferred IO support

This implements deferred IO support in fbdev.  Deferred IO is a way to delay
and repurpose IO.  This implementation is done using mm's page_mkwrite and
page_mkclean hooks in order to detect, delay and then rewrite IO.  This
functionality is used by hecubafb.

[adaplas]
This is useful for graphics hardware with no directly addressable/mappable
framebuffer. Implementing this will allow the ""framebuffer"" to be accesible
from user space via mmap().

Signed-off-by: Jaya Kumar <0c2a6cec462dd133a84c8dd2f380e35deb9fbf17@gmail.com>
Signed-off-by: Antonino Daplas <be03a811842969f6b435f66cb85a30eb479a8702@gmail.com>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org>
Signed-off-by: Linus Torvalds <69652caca27c8b940640ad396ab71f93cacec34f@linux-foundation.org>
",0,0,0,FALSE,FALSE,Deferred,TRUE,TRUE,,adaptive,
N3uTr0nRom/android_kernel_motorola_msm8916,60b59beafba875aef6d378078bce0baf2287ae14,fbdev: mm: Deferred IO support,"fbdev: mm: Deferred IO support

This implements deferred IO support in fbdev.  Deferred IO is a way to delay
and repurpose IO.  This implementation is done using mm's page_mkwrite and
page_mkclean hooks in order to detect, delay and then rewrite IO.  This
functionality is used by hecubafb.

[adaplas]
This is useful for graphics hardware with no directly addressable/mappable
framebuffer. Implementing this will allow the ""framebuffer"" to be accesible
from user space via mmap().

Signed-off-by: Jaya Kumar <0c2a6cec462dd133a84c8dd2f380e35deb9fbf17@gmail.com>
Signed-off-by: Antonino Daplas <be03a811842969f6b435f66cb85a30eb479a8702@gmail.com>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org>
Signed-off-by: Linus Torvalds <69652caca27c8b940640ad396ab71f93cacec34f@linux-foundation.org>
",0,0,0,FALSE,,,TRUE,,duplicated,,
dianlujitao/CAF_kernel_msm-3.10,60b59beafba875aef6d378078bce0baf2287ae14,fbdev: mm: Deferred IO support,"fbdev: mm: Deferred IO support

This implements deferred IO support in fbdev.  Deferred IO is a way to delay
and repurpose IO.  This implementation is done using mm's page_mkwrite and
page_mkclean hooks in order to detect, delay and then rewrite IO.  This
functionality is used by hecubafb.

[adaplas]
This is useful for graphics hardware with no directly addressable/mappable
framebuffer. Implementing this will allow the ""framebuffer"" to be accesible
from user space via mmap().

Signed-off-by: Jaya Kumar <0c2a6cec462dd133a84c8dd2f380e35deb9fbf17@gmail.com>
Signed-off-by: Antonino Daplas <be03a811842969f6b435f66cb85a30eb479a8702@gmail.com>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org>
Signed-off-by: Linus Torvalds <69652caca27c8b940640ad396ab71f93cacec34f@linux-foundation.org>
",0,0,0,FALSE,,,TRUE,,duplicated,,
jamison904/android_kernel_samsung_hlte,60b59beafba875aef6d378078bce0baf2287ae14,fbdev: mm: Deferred IO support,"fbdev: mm: Deferred IO support

This implements deferred IO support in fbdev.  Deferred IO is a way to delay
and repurpose IO.  This implementation is done using mm's page_mkwrite and
page_mkclean hooks in order to detect, delay and then rewrite IO.  This
functionality is used by hecubafb.

[adaplas]
This is useful for graphics hardware with no directly addressable/mappable
framebuffer. Implementing this will allow the ""framebuffer"" to be accesible
from user space via mmap().

Signed-off-by: Jaya Kumar <0c2a6cec462dd133a84c8dd2f380e35deb9fbf17@gmail.com>
Signed-off-by: Antonino Daplas <be03a811842969f6b435f66cb85a30eb479a8702@gmail.com>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org>
Signed-off-by: Linus Torvalds <69652caca27c8b940640ad396ab71f93cacec34f@linux-foundation.org>
",0,0,0,FALSE,,,TRUE,,duplicated,,
SOKP/kernel_mediatek_sprout,8195096bf2e3756264561d7a47d547bafd4e9100,memstick: drivers/memstick/host/jmb38x_ms.c: suppress uninitialized var warning,"memstick: drivers/memstick/host/jmb38x_ms.c: suppress uninitialized var warning

drivers/memstick/host/jmb38x_ms.c: In function 'jmb38x_ms_transfer_data':
drivers/memstick/host/jmb38x_ms.c:294: warning: 'p_off' may be used uninitialized in this function

Cc: Alex Dubov <0a193e7d03987b78e75066c10bd5e348c29e066c@yahoo.com>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org>
Signed-off-by: Linus Torvalds <69652caca27c8b940640ad396ab71f93cacec34f@linux-foundation.org>
",0,0,0,FALSE,,suppress warning,TRUE,,,perfective,TRUE
RaspberryPi-CM/android_kernel_raspberry_pi2,8195096bf2e3756264561d7a47d547bafd4e9100,memstick: drivers/memstick/host/jmb38x_ms.c: suppress uninitialized var warning,"memstick: drivers/memstick/host/jmb38x_ms.c: suppress uninitialized var warning

drivers/memstick/host/jmb38x_ms.c: In function 'jmb38x_ms_transfer_data':
drivers/memstick/host/jmb38x_ms.c:294: warning: 'p_off' may be used uninitialized in this function

Cc: Alex Dubov <0a193e7d03987b78e75066c10bd5e348c29e066c@yahoo.com>
Signed-off-by: Andrew Morton <5c1e68b099950c134891f0b6e179498a8ebe9cf9@linux-foundation.org>
Signed-off-by: Linus Torvalds <69652caca27c8b940640ad396ab71f93cacec34f@linux-foundation.org>
",0,0,0,FALSE,FALSE,duplicated,TRUE,TRUE,,,
ehigh2014/linux,935c500c377d8e414bbe08e0e169f6c85d2a4273,MIPS: Lantiq: Add more gpio drivers,"MIPS: Lantiq: Add more gpio drivers

The XWAY family allows to extend the number of gpios by using shift
registers or latches. This patch adds the 2 drivers needed for this. The
extended gpios are output only.

[92f48d309cda194c8eda36aa8f9ae28c488fa208@linux-mips.org: Fixed ltq_stp_probe section() attributes.]

Signed-off-by: John Crispin <be6487f9df4dce44a640672d6c07330104d43593@openwrt.org>
Signed-off-by: Ralph Hempel <2e12486d0bf20820866ea5a6ce227e6e52a2d900@lantiq.com>
Cc: 562397917b9a8bf316569a848858b12fb417723f@linux-mips.org
Patchwork: https://patchwork.linux-mips.org/patch/2258/
Signed-off-by: Ralf Baechle <92f48d309cda194c8eda36aa8f9ae28c488fa208@linux-mips.org>
",1,0,0,TRUE,TRUE,fixed coding,TRUE,TRUE,,corrective,FALSE
SlimSaber/android_kernel_oppo_msm8974,16f1c746755836aa823658000493cdab8ce7b098,[POWERPC] Small fixes & cleanups in segment page size demotion,"[POWERPC] Small fixes & cleanups in segment page size demotion

The code for demoting segments to 4K had some issues, like for example,
when using _PAGE_4K_PFN flag, the first CPU to hit it would do the
demotion, but other CPUs hitting the same page wouldn't properly flush
their SLBs if mmu_ci_restriction isn't set.  There are also potential
issues with hash_preload not handling _PAGE_4K_PFN.  All of these are
non issues on current hardware but might bite us in the future.

This patch thus fixes it by:

 - Taking the test comparing the mm and current CPU context page
sizes to decide to flush SLBs out of the mmu_ci_restrictions test
since that can also be triggered by _PAGE_4K_PFN pages

 - Due to the above being done all the time, demote_segment_4k
doesn't need update the context and flush the SLB

 - demote_segment_4k can be static and doesn't need an EXPORT_SYMBOL

 - Making hash_preload ignore anything that has either _PAGE_4K_PFN
or _PAGE_NO_CACHE set, thus avoiding duplication of the complicated
logic in hash_page() (and possibly making hash_preload a little bit
faster for the normal case).

Signed-off-by: Benjamin Herrenschmidt <a7089bb6e7e92505d88aaff006cbdd60cc9120b6@kernel.crashing.org>
Signed-off-by: Paul Mackerras <19a0ba370c443ba08d20b5061586430ab449ee8c@samba.org>
",2,0,0,TRUE,TRUE,fixes,TRUE,TRUE,,corrective,FALSE
kbc-developers/android_kernel_samsung_msm8660,775ba7ad491a154f99871fe603f03366e84ae159,Merge git://git.kernel.org/pub/scm/linux/kernel/git/bunk/trivial,"Merge git://git.kernel.org/pub/scm/linux/kernel/git/bunk/trivial

* git://git.kernel.org/pub/scm/linux/kernel/git/bunk/trivial:
  Fix inotify maintainers entry
  Fix typo in new debug options.
  Jon needs a new shift key.
  fs: Convert kmalloc() + memset() to kzalloc() in fs/.
  configfs.h: Remove dead macro definitions.
  kconfig: Standardize ""depends"" -> ""depends on"" in Kconfig files
  e100: replace kmalloc with kcalloc
  um: replace kmalloc+memset with kzalloc
  fix typo in net/ipv4/ip_fragment.c
  include/linux/compiler.h: reject gcc 3 < gcc 3.2
  Kconfig: fix spelling error in config KALLSYMS help text
  Remove duplicate ""have to"" in comment
  Fix small typo in drivers/serial/icom.c
  Use consistent casing in help message
  EXT{2,3,4}_FS: remove outdated part of the help text
",6,4,0,TRUE,TRUE,fix,TRUE,TRUE,,corrective,FALSE
0xD34D/kernel_omap_bowser-common,d801145d910cc4a0fb418dda1dee227cec993cbd,[PATCH] s390: qeth bug fixes,"[PATCH] s390: qeth bug fixes

[patch 7/10] s390: qeth bug fixes.

From: Frank Pavlic <3b6272f55be06e4affbede317bd2b4b10c795760@de.ibm.com>

qeth network driver changes:
 - Removed redundant code, use the same qeth_fill_buffer_frag
   for TSO path either
 - Using skb->frags solely is not correct since skb->data still
   points to the beginning of the whole data, even when it is
   a small portion we have to fill the qdio buffer with it.

Signed-off-by: Frank Pavlic <3b6272f55be06e4affbede317bd2b4b10c795760@de.ibm.com>
",3,0,0,TRUE,TRUE,bug fixes,TRUE,TRUE,,corrective,FALSE
Kshitij-Jain/android_kernel_cyanogen_msm8916,d801145d910cc4a0fb418dda1dee227cec993cbd,[PATCH] s390: qeth bug fixes,"[PATCH] s390: qeth bug fixes

[patch 7/10] s390: qeth bug fixes.

From: Frank Pavlic <3b6272f55be06e4affbede317bd2b4b10c795760@de.ibm.com>

qeth network driver changes:
 - Removed redundant code, use the same qeth_fill_buffer_frag
   for TSO path either
 - Using skb->frags solely is not correct since skb->data still
   points to the beginning of the whole data, even when it is
   a small portion we have to fill the qdio buffer with it.

Signed-off-by: Frank Pavlic <3b6272f55be06e4affbede317bd2b4b10c795760@de.ibm.com>
",3,0,0,TRUE,,,TRUE,,duplicated,,
dutchanddutch/ti81xx-linux,d801145d910cc4a0fb418dda1dee227cec993cbd,[PATCH] s390: qeth bug fixes,"[PATCH] s390: qeth bug fixes

[patch 7/10] s390: qeth bug fixes.

From: Frank Pavlic <3b6272f55be06e4affbede317bd2b4b10c795760@de.ibm.com>

qeth network driver changes:
 - Removed redundant code, use the same qeth_fill_buffer_frag
   for TSO path either
 - Using skb->frags solely is not correct since skb->data still
   points to the beginning of the whole data, even when it is
   a small portion we have to fill the qdio buffer with it.

Signed-off-by: Frank Pavlic <3b6272f55be06e4affbede317bd2b4b10c795760@de.ibm.com>
",3,0,0,TRUE,,,TRUE,,duplicated,,
wutiejun/linux,d801145d910cc4a0fb418dda1dee227cec993cbd,[PATCH] s390: qeth bug fixes,"[PATCH] s390: qeth bug fixes

[patch 7/10] s390: qeth bug fixes.

From: Frank Pavlic <3b6272f55be06e4affbede317bd2b4b10c795760@de.ibm.com>

qeth network driver changes:
 - Removed redundant code, use the same qeth_fill_buffer_frag
   for TSO path either
 - Using skb->frags solely is not correct since skb->data still
   points to the beginning of the whole data, even when it is
   a small portion we have to fill the qdio buffer with it.

Signed-off-by: Frank Pavlic <3b6272f55be06e4affbede317bd2b4b10c795760@de.ibm.com>
",3,0,0,TRUE,,,TRUE,,duplicated,,
kissthink/aufs4-linux,187fd030d801b02b0daeb010dbf7c0113be3156d,ext4: remove unused variable from ext4_ext_in_cache(),"ext4: remove unused variable from ext4_ext_in_cache()

Signed-off-by: ""Theodore Ts'o"" <4ed386e0495d3e109932df055831d9ec2f824927@mit.edu>
Signed-off-by: Zhi Yong Wu <271485df608e5866f00a6b53bd62a5efc2bd3593@linux.vnet.ibm.com>
Reviewed-by: Zheng Liu <cd65f188c5a0fcbc824d6256aeb36f04ccc1effa@gmail.com>
",0,0,0,FALSE,FALSE,remove unused,TRUE,TRUE,,perfective,FALSE
MoKee/android_kernel_oppo_n3,8b36ac445ad5af861d05846029230b8c6b434efb,staging: brcm80211: reducing indentation levels in bcmsdh_sdmmc.c,"staging: brcm80211: reducing indentation levels in bcmsdh_sdmmc.c

Some functions in the source file had a lot of indentation levels
forcing statements to be spread over multiple lines impairing the
readability of the code.

Reported-by: Joe Perches <16a9a54ddf4259952e3c118c763138e83693d7fd@perches.com>
Reviewed-by: Franky (Zhenhui) Lin <c740ae0f5dfc9bd2203ae1a0d3155a31e94c745d@broadcom.com>
Reviewed-by: Roland Vossen <45182f14eed14f589e080b05abc22e5a7f6ee742@broadcom.com>
Signed-off-by: Franky Lin <c740ae0f5dfc9bd2203ae1a0d3155a31e94c745d@broadcom.com>
Signed-off-by: Greg Kroah-Hartman <4645f7897fd33786a2ee1264d590b3c400559d85@suse.de>
",0,0,0,FALSE,FALSE,indentation,TRUE,TRUE,,perfective,FALSE
