,token,commit,positive
117,"#11389,",1,0.0
118,#114,2,1.0
119,#11403,2,0.5
120,#11405,1,1.0
121,#1141,3,0.666666666667
122,#11415,1,1.0
123,#1144,1,0.0
124,#11443,1,1.0
125,#1147,1,0.0
126,#115,1,0.0
127,#1153,1,1.0
128,#11555,1,0.0
129,#1156,1,1.0
130,#1158,2,0.5
131,#1162,1,1.0
132,#1163,1,0.0
133,#11636,1,1.0
134,#11651,1,1.0
135,#11652,1,0.0
136,#11656,1,1.0
137,#1166,1,0.0
138,#1168,1,0.0
139,#117,2,1.0
140,#1171,1,0.0
141,#1172,1,1.0
142,#1175,2,1.0
143,#1179,1,0.0
144,#11796,1,1.0
145,#1180,1,0.0
146,#1181,1,0.0
147,#11831,1,1.0
148,#11862,1,0.0
149,#11869,1,0.0
150,#119,2,0.0
151,#1190,1,1.0
152,#11935,1,1.0
153,#1194,1,1.0
154,#1195,1,1.0
155,#11961,1,0.0
156,#11998,1,1.0
157,#12,3,1.0
158,#12008,1,1.0
159,#1202,2,0.0
160,#1205,1,0.0
161,#12069,1,1.0
162,#12073,1,0.0
163,#12076,1,1.0
164,#1208,1,0.0
165,#12082,1,1.0
166,#1209422,1,0.0
167,#12097,1,1.0
168,#121,3,0.333333333333
169,#12107,1,0.0
170,#1213,1,1.0
171,#12156,1,0.0
172,#1216,1,0.0
173,#1221,1,1.0
174,#1227,1,0.0
175,#12275,1,0.0
176,#1227942,1,1.0
177,#12284,1,1.0
178,#1232,1,1.0
179,#1237,1,1.0
180,#1238,1,0.0
181,#124,2,0.5
182,#12427,1,0.0
183,#1244,1,0.0
184,#1246,1,1.0
185,#12480,1,1.0
186,#1250,1,0.0
187,#12503,1,0.0
188,#1252856,1,1.0
189,#1253,1,0.0
190,"#12532,",1,0.0
191,#1254,1,1.0
192,#1255,1,1.0
193,#12585,1,1.0
194,#12587,1,1.0
195,#126,1,1.0
196,#1260,1,0.0
197,#1261,1,1.0
198,#12622,1,1.0
199,#1264,1,1.0
200,#1270,1,1.0
201,#1271554,1,0.0
202,#12720,1,0.0
203,#12735,1,1.0
204,#1274,1,0.0
205,#12744,1,1.0
206,#12749,1,0.0
207,#1277,1,0.0
208,#1279,1,1.0
209,#1280,1,0.0
210,#12804,1,0.0
211,#1281481,1,1.0
212,#1282303,1,0.0
213,#1283,1,1.0
214,#1284549,1,1.0
215,#12854,1,0.0
216,#12878,2,0.0
217,#12880,1,0.0
218,#129,2,0.5
219,#1290550,1,0.0
220,#1291,1,1.0
221,#1291032,1,1.0
222,#1291130,1,1.0
223,#12923,1,0.0
224,#1294,1,1.0
225,#12959,1,1.0
226,#12966,1,0.0
227,#12969,1,1.0
228,#12970,1,0.0
229,#1298529,1,1.0
230,#13,4,1.0
231,"#13,",1,0.0
232,#130,1,1.0
233,#1302,1,0.0
234,#1302562,1,1.0
235,#13030,1,0.0
236,#1304,1,0.0
237,#1307,1,1.0
238,#13073,1,1.0
239,#13076,1,1.0
240,#13081,1,0.0
241,#1309,2,1.0
242,#13099,1,1.0
243,#131,2,0.5
244,#1312632,1,1.0
245,#1315,1,1.0
246,#1318,2,0.5
247,#13183,1,1.0
248,#1319,1,1.0
249,#132,2,1.0
250,#1323718,1,0.0
251,#13241,1,1.0
252,#1329,1,1.0
253,#1333,1,1.0
254,#13360,1,0.0
255,#1337,1,1.0
256,#134,1,1.0
257,#1341,1,0.0
258,#1346406,1,1.0
259,#1347,2,1.0
260,#13491,1,0.0
261,#135,2,0.0
262,#1350,1,0.0
263,#1354,1,0.0
264,#1355565,1,0.0
265,#1357514,1,1.0
266,#13579,1,1.0
267,#1359416,1,1.0
268,#1360,1,0.0
269,#1361,1,0.0
270,#13626,1,1.0
271,#1368,2,1.0
272,#1369,1,1.0
273,#137,1,1.0
274,#13701,1,1.0
275,#1374,1,1.0
276,#1374461,1,1.0
277,#1375,1,0.0
278,#13760,1,1.0
279,#1378,1,1.0
280,#13830,1,0.0
281,#1383674,1,1.0
282,#1387,1,0.0
283,#13894,1,1.0
284,#139,2,1.0
285,#1390,3,1.0
286,#1392,2,0.5
287,#1397,1,1.0
288,#14,3,0.833333333333
289,#140,2,0.5
290,#1402,3,0.666666666667
291,#1404198,1,0.0
292,#1408,2,0.0
293,#1409733,1,0.0
294,#141,2,0.5
295,#1412,1,0.0
296,#14128,1,0.0
297,#1415,1,1.0
298,#1416,1,0.0
299,#142,2,0.5
300,#1424,1,0.0
301,#1427,1,1.0
302,#1429,2,0.0
303,#143,3,0.666666666667
304,#1430,2,1.0
305,#1434,1,0.0
306,#1435382,1,0.5
307,#1436,1,1.0
308,#14372,1,1.0
309,#14373,1,1.0
310,#14383,1,1.0
311,#144,3,1.0
312,#1441,1,0.0
313,#1442,1,0.0
314,#14426,1,1.0
315,#144613739](https,1,1.0
316,#1446911,1,0.0
317,#14482,1,0.0
318,#145,1,1.0
319,#1450,1,1.0
320,#1451,2,0.5
321,#1452,2,1.0
322,#1453,1,1.0
323,#1457,1,0.0
324,#14580,1,0.0
325,#14630,1,0.0
326,#14642,1,0.0
327,#1468930,1,1.0
328,#1469,1,0.0
329,#14690,1,1.0
330,#147,2,0.5
331,#1471432,1,1.0
332,#1472,1,0.0
333,#1475,1,1.0
334,"#14750,",1,1.0
335,#1477,1,0.0
336,#148,2,0.0
337,#1483,1,0.0
338,#14844,1,1.0
339,#1486,1,0.0
340,#1486812,1,0.0
341,#1489335,1,1.0
342,#1489337,1,1.0
343,#149,1,1.0
344,#1494830,1,1.0
345,#1494927,1,1.0
346,#1496410,1,0.5
347,#1496458,1,0.0
348,#1499,1,1.0
349,#15,4,0.75
350,#150,1,1.0
351,#150153617],1,1.0
352,#1502,1,0.0
353,#1503074,1,0.0
354,#1503088,1,1.0
355,#1504053,1,1.0
356,#1505375,1,0.0
357,#15060,1,0.0
358,#15069,1,0.0
359,#1508188,1,0.5
360,#151,2,1.0
361,#1510,1,1.0
362,#1511,1,0.0
363,#1512,1,1.0
364,#15120,1,1.0
365,#15138,1,1.0
366,#1515871,1,0.0
367,#15161,1,0.0
368,#1517,1,1.0
369,#1521,2,0.0
370,#1523,1,0.0
371,#1524,2,0.666666666667
372,#1524160,1,0.0
373,#1525,1,0.0
374,#15292,1,1.0
375,#153,2,0.5
376,"#15302503,",1,1.0
377,#15322,1,1.0
378,#1536844,1,0.0
379,#1537,1,1.0
380,#1538623,1,0.0
381,#154,3,1.0
382,#1540844,1,1.0
383,#15412,1,0.0
384,#1541676,1,0.0
385,#1543),1,0.0
386,#1543094,1,1.0
387,#1544,1,0.0
388,#1547,1,1.0
389,#1548285,1,1.0
390,#155,3,1.0
391,#15515,1,1.0
392,#1552,1,0.0
393,#15534,1,0.0
394,#15538,1,0.0
395,#15547,1,0.0
396,#15555,1,1.0
397,#1557,2,0.666666666667
398,#15580,1,1.0
399,#15585,1,0.0
400,#156,1,1.0
401,#1560,1,1.0
402,#1563069,2,1.0
403,#15633,1,1.0
404,#1569245,1,0.0
405,#1571,1,1.0
406,#1572,1,0.0
407,#1573,1,1.0
408,#15731,1,1.0
409,#15743,1,1.0
410,#1575,1,1.0
411,#15750,1,1.0
412,#158,2,0.5
413,#1580,1,1.0
414,#1589338,1,0.0
415,#159,4,0.4
416,#1590,1,0.0
417,#15981,1,0.0
418,#1599,1,0.0
419,#16,2,1.0
420,#1602210,1,1.0
421,#1604115,1,0.0
422,#1606,1,0.0
423,#1608,1,0.0
424,#16082,1,0.0
425,#1611,1,0.0
426,#1614082,1,0.0
427,#16164,1,1.0
428,#16165,2,1.0
429,#16182,1,0.0
430,#162,1,1.0
431,#1620010,1,1.0
432,#1622,1,1.0
433,#1628,1,0.0
434,#163,1,1.0
435,#1630,1,1.0
436,#16358,1,1.0
437,#16374,1,1.0
438,#16380,1,1.0
439,#164,1,1.0
440,#1641,1,0.0
441,#16453,1,1.0
442,#16460,1,1.0
443,#165,4,1.0
444,#1651,1,1.0
445,#166,1,1.0
446,#16624,1,1.0
447,#1663,2,0.5
448,#16653,1,1.0
449,#16702,1,1.0
450,#1676574,1,0.0
451,#1676834),1,0.0
452,#16775,1,0.0
453,#1678,1,1.0
454,#16783,1,0.0
455,#1681,1,1.0
456,#1682,2,1.0
457,#1685,1,0.0
458,#1686,1,0.0
459,#16875,1,1.0
460,#16899,1,1.0
461,#169,2,0.5
462,#1691,1,1.0
463,#1695,1,0.0
464,#16978,1,0.0
465,#1699,1,1.0
466,#17,3,1.0
467,#1700382,1,0.0
468,#1706,1,0.0
469,#1709,1,1.0
470,#171,1,1.0
471,#1712,1,0.0
472,#1715,1,0.0
473,#1716,1,0.0
474,#172,1,1.0
475,#1720],1,0.0
476,#1722,1,1.0
477,#1723,1,1.0
478,#17254,1,0.0
479,#1726,1,0.0
480,#17262,1,0.0
481,#1727,1,0.0
482,#173,2,0.5
483,#173),1,1.0
484,#1730,1,1.0
485,#1731,1,1.0
486,#174,1,1.0
487,#1744186,1,1.0
488,#17448,1,1.0
489,#17474,1,0.0
490,#17475,1,1.0
491,#1749,1,1.0
492,#1752,1,1.0
493,#1756,1,0.0
494,#1757,1,1.0
495,#17599,1,0.0
496,#17622,1,1.0
497,#1763),1,1.0
498,#1763974,1,0.0
499,#1764,1,1.0
500,#1764474,1,1.0
501,#17652,1,1.0
502,#17677,1,1.0
503,#1768,2,0.5
504,#1769817,1,1.0
505,#1774,2,0.5
506,#1777,1,1.0
507,#1778,1,1.0
508,#17790,1,0.0
509,#178,1,1.0
510,#17808,1,1.0
511,#1781,1,0.0
512,#1788,1,1.0
513,#1791,1,1.0
514,#1798,1,0.0
515,#18,2,0.5
516,#180,1,0.0
517,#1801,2,0.0
518,#1804,1,0.0
519,#1805,1,1.0
520,#1807,1,1.0
521,#181,2,0.0
522,#1810,1,0.0
523,#1814496,1,0.0
524,#18202,1,0.0
525,#18253,1,0.5
526,#1827448,1,0.0
527,#1829,1,0.0
528,#1835,1,1.0
529,#1842,1,1.0
530,#1847,1,1.0
531,#1848,1,1.0
532,#18490,1,0.0
533,#185,3,0.666666666667
534,#1851,2,0.5
535,#1851018,1,1.0
536,#18541,1,0.0
537,#18564,1,0.0
538,#1856766,1,1.0
539,#1866,1,0.0
540,#1870,1,0.0
541,#18750,2,0.0
542,"#18755,",1,0.0
543,#1876,1,0.0
544,#1880,1,1.0
545,#1883,1,0.0
546,#1884,1,0.0
547,#18849,1,1.0
548,#1885,1,0.0
549,#189,1,0.0
550,#1890,1,1.0
551,#1897,1,0.0
552,#18980,1,0.0
553,#18985,1,1.0
554,#19,3,0.666666666667
555,#19034,1,0.0
556,#19042,1,1.0
557,#1906,1,1.0
558,#191,1,0.0
559,#1917,1,0.0
560,#1919,2,1.0
561,#192,1,1.0
562,#1920,1,1.0
563,#1921,1,0.0
564,#19216,1,0.0
565,#1924,1,1.0
566,#1929,1,1.0
567,#19295,1,1.0
568,#1932,1,0.0
569,#1934,1,1.0
570,#1938898,1,1.0
571,#1938926,1,0.0
572,#194,2,1.0
573,#194),1,0.0
574,#1942346,1,0.0
575,#1944,1,1.0
576,#19445,1,0.0
577,#19527,1,1.0
578,#1955,1,1.0
579,#1958,1,1.0
580,#196,5,0.6
581,#1961,1,1.0
582,#19634,1,1.0
583,#1965,2,0.5
584,#1966,1,0.0
585,#197,1,0.0
586,#198,1,1.0
587,#1983,1,0.0
588,#1987,2,1.0
589,#1987066,1,1.0
590,#1987692,1,0.0
591,#1993,1,1.0
592,#1996238,1,1.0
593,#1998466,1,0.0
594,#19997,1,1.0
595,#2,3,0.0
596,#20,3,0.333333333333
597,#2002000,1,1.0
598,#2002934,1,0.0
599,#2002986,1,0.0
600,#2005,1,0.0
601,#20052,1,0.0
602,#2011,1,0.0
603,#20115,1,0.0
604,#20127,1,0.0
605,#2015,1,0.0
606,#2016,1,1.0
607,#202,2,1.0
608,#20204,1,1.0
609,#2023563,1,1.0
610,#2024867,1,1.0
611,#2026,1,1.0
612,#2028,2,1.0
613,#203,1,0.0
614,#2031725,1,0.0
615,#20371,1,0.0
616,#204,2,1.0
617,#2041),1,0.0
618,#2045921,1,1.0
619,#2048827,1,0.0
620,#205,2,1.0
621,#20504,1,1.0
622,#2050759,1,0.0
623,#2051,1,1.0
624,#2057,1,1.0
625,#20571,1,0.0
626,#2058,1,1.0
627,#20582,1,0.0
628,#20592,1,0.0
629,#206,3,0.666666666667
630,#2067,1,0.0
631,#207,2,0.5
632,#2070,1,1.0
633,#2071,1,1.0
634,#20728,1,0.0
635,#2077473,1,0.0
636,#208,1,1.0
637,#2080,1,0.0
638,#20827519],1,1.0
639,#2086,1,1.0
640,#2088,1,1.0
641,#209,1,0.0
642,#2090,1,1.0
643,#2091,1,1.0
644,#2095,1,1.0
645,#20980,1,1.0
646,#21,2,1.0
647,#210,1,0.0
648,#210),1,0.0
649,#2100,1,1.0
650,#2103,1,0.0
651,#2104,1,1.0
652,#2106,1,0.0
653,#2107,1,1.0
654,#211,1,0.0
655,#2110345,1,0.0
656,#2111,1,0.0
657,#2116,1,1.0
658,#212,5,0.8
659,#2120841,1,1.0
660,#2124,1,0.0
661,#21383,1,1.0
662,#214,1,1.0
663,#2141,1,1.0
664,#2146,1,0.0
665,#21467,1,1.0
666,#21538,1,0.0
667,#2154,1,1.0
668,#2157,1,1.0
669,#2158,1,1.0
670,#21622,1,1.0
671,#2163,1,1.0
672,#217,3,0.5
673,#218,1,0.0
674,#2188,1,0.0
675,#2188613,1,0.0
676,#2194,1,0.0
677,#22,2,1.0
678,#220233,1,1.0
679,#2206,1,1.0
680,#2208631,1,0.0
681,#2210,1,0.0
682,#2212,1,1.0
683,#22132,1,0.0
684,#2217,1,0.0
685,#2226,1,1.0
686,#2228921,1,0.0
687,#223,1,0.0
688,#224,1,0.0
689,#2240,1,0.0
690,#2242,1,0.0
691,#2243,2,0.666666666667
692,#2245,1,1.0
693,#2246,1,1.0
694,#2257),1,0.0
695,#226,1,0.0
696,#2262,1,1.0
697,#22695,1,1.0
698,#227,1,0.0
699,#22719,1,1.0
700,#2274,1,1.0
701,#22764,1,0.0
702,#22774,3,0.333333333333
703,#22864,1,0.0
704,#2287,1,1.0
705,"#2289,",1,1.0
706,#229,1,0.0
707,#2290,1,1.0
708,#2294,1,0.0
709,#22985,1,0.0
710,#2299,1,1.0
711,#23,2,0.5
712,#230,3,1.0
713,#2302,1,0.0
714,#2304,1,1.0
715,#2305,1,0.0
716,#231,2,1.0
717,#2310,1,0.0
718,#2312,1,1.0
719,#2314,1,1.0
720,#2317,1,1.0
721,#2319,1,0.0
722,#2324055,1,1.0
723,#23265,2,0.0
724,#233,1,0.0
725,#2332,1,1.0
726,#23354,1,1.0
727,#2336,1,1.0
728,#23361761],1,0.0
729,#23364,1,1.0
730,#23372,1,0.0
731,#2338,1,1.0
732,#2345,1,0.0
733,#2348,1,1.0
734,#23506,1,0.0
735,#2353,1,0.0
736,#2354,1,0.0
737,#2356,1,1.0
738,#23563,1,0.0
739,#23573,1,1.0
740,#23580,1,0.0
741,#236,2,1.0
742,#2360,1,1.0
743,#2362227,1,1.0
744,#2367,1,0.0
745,#23674,1,1.0
746,#237,1,1.0
747,#2373,1,1.0
748,#2380,1,1.0
749,#2389,1,0.0
750,#239,1,0.0
751,#24,3,1.0
752,#240,1,0.0
753,#2404,1,0.0
754,#2409,1,1.0
755,#241,1,1.0
756,#24134,1,0.0
757,#242,1,1.0
758,#2422,1,1.0
759,#2426,1,1.0
760,#2429,1,0.0
761,#243,3,0.666666666667
762,#2435,1,0.0
763,#2438,1,0.0
764,#2442,2,0.0
765,#2444,1,1.0
766,#24487,1,0.0
767,#245,1,1.0
768,#246,1,0.0
769,#2461,1,1.0
770,#24630,1,0.0
771,#247,1,0.0
772,#24707,1,0.0
773,#2475,1,0.0
774,#24769,1,1.0
775,#248,1,1.0
776,#249,1,0.0
777,#24949,1,1.0
778,#25,4,0.5
779,#2507,1,1.0
780,#2509,1,1.0
781,#2512,1,1.0
782,#252,4,0.5
783,#2522,1,1.0
784,#25268,1,1.0
785,#2527,1,0.0
786,#253,3,0.666666666667
787,#2535,1,0.0
788,#2543,1,0.0
789,#2545,1,0.0
790,#255,3,0.666666666667
791,#2550,1,1.0
792,#2558,1,1.0
793,#256,1,1.0
794,#257,1,0.0
795,#25702,1,0.0
796,#2571,1,0.0
797,#25725,1,0.0
798,#25739,1,0.0
799,#2578,1,0.0
800,#258,2,0.5
801,#2585,1,0.0
802,#259,1,1.0
803,#2593,1,0.0
804,#26,2,0.5
805,#261,3,0.333333333333
806,#262,1,0.0
807,#2622,1,1.0
808,#2623,1,1.0
809,#2626,1,1.0
810,#2628,1,1.0
811,#263,1,1.0
812,#2636,1,1.0
813,#2645,2,1.0
814,#2649,1,1.0
815,#265,1,0.0
816,#2650,1,1.0
817,#2652,1,1.0
818,#2654,1,1.0
819,#26559,1,1.0
820,#2658,1,0.0
821,#266,1,0.0
822,#2660,1,0.0
823,#2662,1,0.0
824,#267,2,0.5
825,#2670,1,1.0
826,#2671,1,1.0
827,#268,1,1.0
828,#2685,1,1.0
829,#269,1,1.0
830,#26908,1,0.0
831,#26916,1,0.0
832,#2698,1,0.0
833,#26993,1,1.0
834,#27,1,1.0
835,#2705,1,0.0
836,#272,1,0.0
837,#2720,1,0.0
838,"#2728,",1,1.0
839,#27311,1,1.0
840,#274,1,0.0
841,"#2741,",1,0.0
842,#2751,1,1.0
843,#276,1,1.0
844,#2763),1,1.0
845,#2764,1,1.0
846,#2766,1,1.0
847,#27714,1,1.0
848,#2773,1,1.0
849,#2784,1,0.0
850,#279,1,0.0
851,#2791,1,0.0
852,#2793,1,1.0
853,#28,3,0.666666666667
854,#280,1,0.0
855,#28019,1,0.0
856,#281,1,0.0
857,#28204,1,0.0
858,#2822,1,0.0
859,#2823,1,1.0
860,#283,1,1.0
861,#2843,1,0.0
862,#2844,1,0.0
863,#285,2,1.0
864,#28515,1,0.0
865,#28587,1,0.0
866,#286,1,0.0
867,#2863,2,0.5
868,#28687,1,1.0
869,#2869,1,1.0
870,#2870,1,1.0
871,#2871,1,0.0
872,#28711,1,1.0
873,#28939,1,0.0
874,#29,2,0.5
875,"#29,",1,1.0
876,#29006,1,0.0
877,#2909,1,1.0
878,#291,1,0.0
879,#29178,1,1.0
880,#2925,1,0.0
881,#293),1,0.0
882,#294,1,0.0
883,#294),1,0.0
884,#2944,1,1.0
885,#295,1,1.0
886,#2955,1,0.0
887,#2956,1,0.0
888,#2957,1,0.0
889,#2966,1,0.0
890,#2967,1,0.0
891,#297,3,0.666666666667
892,#29773,1,0.0
893,#2979,1,0.0
894,#298,1,1.0
895,#2982,1,1.0
896,#2983,1,0.0
897,#2983),1,0.0
898,#29880,1,1.0
899,#29887,1,0.0
900,#299,3,0.333333333333
901,#2992,1,0.0
902,#2997,1,1.0
903,#3,5,0.4
904,#30,3,1.0
905,#302,1,1.0
906,#302),1,0.0
907,#3027,2,0.5
908,#3044,1,1.0
909,#3045,1,1.0
910,#3047,1,0.0
911,#3050,1,0.0
912,#3053,1,0.0
913,#3055,1,1.0
914,#30550,1,1.0
915,#3056,1,0.0
916,#30562,1,1.0
917,#30671,1,0.0
918,#307,2,1.0
919,#3071,1,0.0
920,"#30878),",1,0.0
921,#3089,2,1.0
922,#309,1,1.0
923,#3091,1,0.0
924,#31,1,1.0
925,#31005,1,0.0
926,"#3106),",1,0.0
927,#3107,1,0.0
928,#311,1,0.0
929,#3115,1,1.0
930,#3119,1,0.0
931,#3121,1,0.0
932,#3122,1,0.0
933,#3124,1,0.0
934,#31247,1,1.0
935,#313,1,1.0
936,#313143,1,0.0
937,#3138,1,0.0
938,#3139),1,0.0
939,#314,2,0.0
940,#315131,1,0.0
941,#31529,1,1.0
942,#316,1,1.0
943,#31647,1,1.0
944,#3165,1,0.0
945,#317),1,1.0
946,#31716,1,0.0
947,#3175,2,0.5
948,#3187,1,1.0
949,#319,1,1.0
950,#32,3,0.666666666667
951,#320,1,0.0
952,#3206),1,0.0
953,#321,1,0.0
954,#3210,1,1.0
955,#3220,1,0.0
956,#323,1,0.0
957,#324,1,1.0
958,#3244,1,1.0
959,#325,1,1.0
960,#3252,1,1.0
961,#3262,1,0.0
962,#3264,1,1.0
963,#326539,1,1.0
964,#327,1,0.0
965,#3272),1,0.0
966,#3275,1,0.0
967,#328,2,0.666666666667
968,#329,1,1.0
969,#3291,1,1.0
970,#33,2,0.5
971,#331,1,0.0
972,#3313,1,1.0
973,#33164,1,0.0
974,#332,2,1.0
975,#33203,1,1.0
976,#333,1,1.0
977,#333143,1,0.0
978,#3334,1,0.0
979,#3335,1,0.0
980,#33365,1,1.0
981,#334,2,1.0
982,#3340,1,1.0
983,#3346,1,0.0
984,#335086,1,1.0
985,#3365,1,0.0
986,#3366,1,0.0
987,#3374,1,1.0
988,#3376,1,1.0
989,#338,1,0.0
990,#338239,1,1.0
991,#34,2,1.0
992,#3407,1,1.0
993,#34264,1,0.0
994,#343,1,0.0
995,#344,2,1.0
996,"#3443,",1,0.0
997,#34468,1,1.0
998,#34509,1,1.0
999,#3456,2,1.0
1000,#346,1,0.0
1001,#3465,1,0.0
1002,#3474,1,0.0
1003,#3475,1,1.0
1004,#349,1,1.0
1005,#3497),1,1.0
1006,#35,1,1.0
1007,#350,3,1.0
1008,#35034,1,1.0
1009,#352,1,1.0
1010,#35226,1,1.0
1011,#3530,2,0.0
1012,#354,3,0.666666666667
1013,#3547,1,0.0
1014,#3556,1,1.0
1015,#356,1,1.0
1016,#3563,1,0.0
1017,#35644,1,1.0
1018,#357,3,0.666666666667
1019,#3579,1,1.0
1020,#3582,1,1.0
1021,#3587,1,0.0
1022,#35896,1,1.0
1023,#359,1,0.0
1024,"#35955,",1,1.0
1025,#3596,1,1.0
1026,#3598,1,0.0
1027,#36,3,0.666666666667
1028,#360,1,1.0
1029,#36020,1,1.0
1030,#361,3,0.333333333333
1031,#3613,1,1.0
1032,#3618,1,0.0
1033,#362,2,0.5
1034,#3625,1,0.0
1035,#363,2,1.0
1036,#364,3,0.666666666667
1037,#3642,1,1.0
1038,#36459,1,1.0
1039,#3648,1,1.0
1040,#365,1,0.0
1041,#3653,1,1.0
1042,#366,2,1.0
1043,#3669,1,1.0
1044,#3672,2,0.0
1045,#3679,1,1.0
1046,#3683,1,1.0
1047,#3685,1,1.0
1048,#36879,1,1.0
1049,#3691,1,1.0
1050,#37,2,1.0
1051,#37007,1,1.0
1052,#37094,1,1.0
1053,#371,2,0.5
1054,#3712,1,0.0
1055,#3714,1,1.0
1056,#372,1,0.0
1057,#3721,1,1.0
1058,#3722,1,0.0
1059,#373,2,1.0
1060,#3730,1,0.0
1061,#3731,1,0.0
1062,#3732,1,1.0
1063,#3735,1,1.0
1064,#3739,1,1.0
1065,#374,2,0.5
1066,#375,2,0.0
1067,#37504,1,0.0
1068,#37505,1,0.0
1069,"#37520,",1,1.0
1070,#375397,1,1.0
1071,#3757,1,0.0
1072,#3761,1,0.0
1073,#377,1,0.0
1074,#3771,1,1.0
1075,#3776,1,0.0
1076,#3777,1,1.0
1077,#378,1,1.0
1078,#379,1,0.0
1079,#3791,1,1.0
1080,#3793,1,1.0
1081,#38,2,1.0
1082,#3800,1,1.0
1083,#3804,1,1.0
1084,#381,1,0.0
1085,#3812,1,0.0
1086,#382,1,0.0
1087,#3826,1,1.0
1088,#384,1,1.0
1089,#3847,1,0.0
1090,#385,1,0.0
1091,#3850,1,1.0
1092,#3856,1,0.0
1093,#386,1,1.0
1094,#3861,1,1.0
1095,#38676,1,0.0
1096,"#38678,",1,0.0
1097,#38679,1,0.0
1098,#38690,1,0.0
1099,#388,1,1.0
1100,#389,2,1.0
1101,"#3892,",1,0.0
1102,#39,1,1.0
1103,#390,1,1.0
1104,#3904,1,1.0
1105,#3906,1,1.0
1106,#39091,1,0.0
1107,#391,1,1.0
1108,#3915,1,0.0
1109,#392,4,0.5
1110,#39207,1,1.0
1111,#39404,1,1.0
1112,#3943,1,1.0
1113,#3945,1,1.0
1114,#395,1,1.0
1115,#39596,1,1.0
1116,#396,1,0.0
1117,#3960,1,0.0
1118,#3965,1,1.0
1119,#397,2,1.0
1120,#3975,1,1.0
1121,#398,1,1.0
1122,#3982,1,0.0
1123,#399,1,1.0
1124,#3991,1,0.0
1125,#4,3,0.666666666667
1126,#40,4,0.25
1127,#400,2,1.0
1128,#40007,1,0.0
1129,#40087,1,1.0
1130,#40088,1,1.0
1131,#401,2,1.0
1132,#4014,1,1.0
1133,"#4017,",1,0.0
1134,#402,2,1.0
1135,#4021,2,0.5
1136,#403,1,1.0
1137,#40301,1,0.0
